chunk_idx	page	section	text_excerpt
0		블로그 글 제목 50개	승인글 카테고리 50개 모아두는 공간  최종 선택 완료!  선택한 주제: 태양계 구조와 특징 메인 키워드: 태양계  블로그 글 제목 50개  카테고리 1: 태양계 행성 구조  태양계 행성 구조로 본 수성의 지형적 특징  태양계 행성 구조에서 금성이 지구와 다른 이유  태양계 행성 구조로 분석한 지구의 내부 구성  태양계 행성 구조 관점에서 본 화성의 지각과
1		블로그 글 제목 50개	태양계 행성 구조로 살펴본 목성의 가스층 구성  태양계 행성 구조에서 토성 고리의 형성 배경  태양계 행성 구조로 이해하는 천왕성의 자전 특성  태양계 행성 구조 분석으로 본 해왕성의 대기 흐름  태양계 행성 구조 비교로 드러난 암석 행성의 공통점  태양계 행성 구조 차이가 환경에 미치는 영향  카테고리 2: 태양계 형성 과정  태양계 형성 과정에서 원시 
2		블로그 글 제목 50개	태양계 형성 과정으로 본 태양의 탄생 단계  태양계 형성 과정 중 미행성 충돌의 의미  태양계 형성 과정에서 행성 궤도가 정해진 이유  태양계 형성 과정으로 설명하는 암석 행성과 가스 행성의 분화  태양계 형성 과정에서 중력 불안정 이론의 위치  태양계 형성 과정 분석으로 본 소행성대의 기원  태양계 형성 과정과 카이퍼대의 형성 배경  태양계 형성 과정에서
3		블로그 글 제목 50개	태양계 형성 과정이 현재 구조에 남긴 흔적  카테고리 3: 태양계 궤도와 운동  태양계 궤도와 운동으로 이해하는 행성 공전 법칙  태양계 궤도와 운동에서 케플러 법칙의 실제 적용  태양계 궤도와 운동 분석으로 본 행성 간 중력 상호작용  태양계 궤도와 운동이 행성 계절을 만드는 원리  태양계 궤도와 운동으로 설명하는 공명 현상  태양계 궤도와 운동에서 위성
4		블로그 글 제목 50개	태양계 궤도와 운동이 소행성 충돌 확률에 미치는 영향  태양계 궤도와 운동으로 본 혜성의 긴 타원 궤도  태양계 궤도와 운동 변화가 장기적으로 미치는 영향  태양계 궤도와 운동을 통해 본 태양 질량의 중요성  카테고리 4: 태양계 소천체 구성  태양계 소천체 구성으로 본 소행성의 종류 구분  태양계 소천체 구성에서 혜성 핵의 물질 특성  태양계 소천체 구성
5		블로그 글 제목 50개	태양계 소천체 구성과 행성 형성의 연관성  태양계 소천체 구성으로 이해하는 트로이 소행성  태양계 소천체 구성에서 얼음 천체의 분포  태양계 소천체 구성 비교로 본 내행성과 외행성 차이  태양계 소천체 구성 연구가 중요한 이유  태양계 소천체 구성으로 본 초기 태양계 환경  태양계 소천체 구성이 충돌 역사에 남긴 기록  카테고리 5: 태양계 전체 특징  태
6		블로그 글 제목 50개	태양계 전체 특징에서 드러나는 평면 구조의 이유  태양계 전체 특징 분석으로 본 행성 배열의 규칙성  태양계 전체 특징이 다른 항성계와 다른 점  태양계 전체 특징으로 이해하는 안정성의 조건  태양계 전체 특징에서 중력이 차지하는 역할  태양계 전체 특징으로 본 에너지 분포 구조  태양계 전체 특징이 생명 환경에 미친 영향  태양계 전체 특징 비교로 본 외
7		📌 1번 승인글 : 1 / 태양계 행성, 수성의 지형적 특징	태양계 전체 특징이 우주 탐사에 주는 시사점  디스크립션: 120자 ~ 160자(기준 : 공백 제외)  📌 1번 승인글 : 1 / 태양계 행성, 수성의 지형적 특징  이번 글은 태양계 행성, 그 중에서도 수성의 지형적인 특징에 대해서 글을 써보겠습니다. 태양계 행성을 형성하는데 영향을 미치는 것은 다양한데요. 그 중에서 태양과 가장 인접한 위치에 자리잡고 
8		태양과 가장 가까운 내행성 수성의 궤도와 물리적 기초	태양과 가장 가까운 내행성 수성의 궤도와 물리적 기초  수성은 태양계의 여덟 개 행성 중 태양과 가장 인접한 위치에 자리 잡고 있으며 궤도 장반경이 약 5,800만 킬로미터에 불과하여 매우 독특한 환경을 형성하고 있습니다. 태양계 형성 초기 단계에서 무거운 원소들이 태양 인근으로 집중됨에 따라 수성은 철과 같은 금속 성분이 전체 질량의 약 70%를 차지하는
9		거대 충돌의 흔적과 칼로리스 분지의 지질학적 가치	거대 충돌의 흔적과 칼로리스 분지의 지질학적 가치  수성 지형에서 가장 주목해야 할 구조물은 직경이 약 1,550킬로미터에 달하는 거대한 충돌구인 칼로리스 분지이며 이는 태양계 내에서도 손꼽히는 대규모 충돌 흔적 중 하나입니다. 약 38억 년 전 거대한 소행성의 충돌로 형성된 것으로 추정되는 이 분지는 수성 지표면의 상당 부분을 차지하며 주변에 동심원 형태
