chunk_idx	page	section	text_excerpt
0		section 0	26f0415dr007.hwp
1		section 0	대법원 2026. 2. 26. 선고 2025다215212 판결
2		section 0	【공사대금】, [공2026상,841]
3		section 0	【판시사항】  [1] 계약의 합의해지의 의의 및 그 성립 요건 / 계약의 묵시적 합의해지가 성립하기 위한 요건 / 당사자 사이에 계약을 종료시킬 의사가 일치하였더라도 계약 종료에 따른 법률관계가 중요한 관심사이고 그러한 법률관계에 관하여 아무런 약정이 없는 경우, 합의해지가 성립하였다고 볼 수 있는지 여부(원칙적 소극)  [2] 하도급거래에서 기존의 직접지
4		section 0	【판결요지】  [1] 계약의 합의해지는 계속적 채권채무관계에서 당사자가 이미 체결한 계약의 효력을 장래에 향하여 소멸시킬 것을 내용으로 하는 새로운 계약이다. 이러한 계약의 성립을 인정하기 위해서는 기존 계약의 효력을 장래에 향하여 소멸시키기로 하는 내용의 청약과 승낙이 합치되어야 한다. 계약의 합의해지는 묵시적으로 이루어질 수도 있으나, 이와 같은 묵시적
5		section 0	[2] 하도급거래 공정화에 관한 법률(이하 ‘하도급법’이라 한다)은 공정한 하도급거래질서를 확립하여 원사업자와 수급사업자가 대등한 지위에서 상호 보완하며 균형 있게 발전할 수 있도록 하는 것을 목적으로 하는 일종의 특별법으로, 이러한 하도급법의 입법 취지를 아울러 고려하면, 기존의 직접지급합의 중 아직 시공이 완료되지 않아 직접지급청구권이 발생하지 않은 부
6		section 0	【참조조문】  [1] 민법 제105조 , 제543조 / [2] 하도급거래 공정화에 관한 법률 제14조 제1항 제2호 , 제4호 , 민법 제105조 , 제543조  【참조판례】  [1] 대법원 2000. 3. 10. 선고 99다70884 판결 (공2000상, 952), 대법원 2018. 12. 27. 선고 2016다274270, 274287 판결 (공2019
7		section 0	【전문】
8		section 0	【원고, 상고인】 주식회사 ○○○건설 (소송대리인 변호사 임문우)  【피고, 피상고인】 대구광역시 외 3인 (소송대리인 변호사 하경환)  【대상판결】  【원심판결】 대구고법 2025. 6. 19. 선고 2024나11642 판결
9		section 0	【주문】
10		section 0	원심판결 중 제1 예비적 청구와 제2 예비적 청구에 관한 원고 패소 부분 및 가지급물반환신청에 대한 재판 중 원고 패소 부분을 각 파기한다. 이 부분 사건을 대구고등법원에 환송한다.  원고의 주위적 청구에 관한 상고를 기각한다.
11		section 0	【이유】
12		section 0	상고이유를 판단한다.  1. 사안의 개요  원심판결 이유와 기록에 따르면 다음 사실을 알 수 있다.  가. 대구지방조달청은 2018. 9. 10. 피고 대구광역시 산하 도시철도건설본부(이하 ‘피고 대구광역시’라 줄여 쓴다)를 수요기관으로, 나머지 피고들(이하 ‘피고 공동수급체’라 한다)을 계약상대방이자 공동수급인으로 하여 ‘대구지하철 △△역 □□출입구 건설
13		section 0	나. 피고 공동수급체는 2019. 4. 1. 원고와 위 공사 중 비개착공사를 공사기간 2019. 4. 1.부터 2020. 5. 31.까지, 계약금액 4,576,070,000원(부가가치세 포함, 공급가액 4,323,700,000원)으로 각 정하여 하도급하는 내용의 계약(이하 ‘이 사건 하도급계약’이라 한다)을 체결하였다.  다. 피고 ◇◇건설 주식회사 (이하
14		section 0	라. 한편 원고와 피고들은 2019. 5. 1. 발주자인 피고 대구광역시가 직접 수급사업자인 원고에게 이 사건 하도급계약에 기한 하도급대금을 지급하기로 하는 합의(직불합의금액 4,323,700,000원, 이하 ‘이 사건 직불합의’라 한다)를 하였다. 이후 원도급금액 중 원고 공사 부분의 하도급액 변경에 따라, ① 피고 대구광역시는 2019. 6. 21. 직
15		section 0	마. 원고와 피고 공동수급체는 2020. 12. 무렵 하도급계약의 계약금액을 4,889,621,000원으로 변경하는 내용의 하도급대금 직불(직접지급) 합의서를 다시 작성하였으나, 피고 대구광역시는 이에 대한 날인이나 승인을 하지 아니하였다.  바. 피고 대구광역시는 2021. 10. 14. 피고 공동수급체에 ‘피고 공동수급체가 요청한 하도급대금 직접지급 총
16		section 0	사. 피고 공동수급체는 2021. 10. 18.부터 2022. 1. 5.까지 원고를 제외한 수급사업자들에 대한 하도급대금 지급보증서를 발급받아 피고 대구광역시에 제출하였으나, 원고에 대하여는 하도급대금 지급보증을 하지 아니하였다. 피고 2 회사 는 2021. 11. 26. 원고에게 하도급공사의 노무비로 3,344,000원을 지급하였다.  아. 원고는 피고들
17		section 0	2. 주위적 청구에 관하여  원고가 제출한 상고장과 상고이유서에 이 부분에 관한 상고이유의 기재가 없다.  3. 피고 대구광역시에 대한 제1 예비적 청구에 관하여  가. 원심의 판단  원심은 다음과 같은 이유로 하도급법 제14조 제1항 제2호 , 제4호 에 따른 직접지급청구를 모두 기각하였다.  1) 이 사건 직불합의는 2021. 11. 무렵 그 판시와 같
18		section 0	2) 피고 대구광역시가 원고의 하도급대금에 대한 직접지급의무를 부담한다고 가정하더라도, 피고 대구광역시의 피고 공동수급체에 대한 대금지급채무는 피고 대구광역시의 상계 및 변제에 따라 모두 소멸하였으므로, 피고 대구광역시가 직접 원고에게 지급해야 할 하도급대금은 남아있지 않다.  나. 대법원의 판단  1) 제1, 3 상고이유에 대하여  먼저 원심의 판단 중 
19		section 0	가) 계약의 합의해지는 계속적 채권채무관계에서 당사자가 이미 체결한 계약의 효력을 장래에 향하여 소멸시킬 것을 내용으로 하는 새로운 계약이다. 이러한 계약의 성립을 인정하기 위해서는 기존 계약의 효력을 장래에 향하여 소멸시키기로 하는 내용의 청약과 승낙이 합치되어야 한다. 계약의 합의해지는 묵시적으로 이루어질 수도 있으나, 이와 같은 묵시적인 합의해지는 계
20		section 0	하도급법은 공정한 하도급거래질서를 확립하여 원사업자와 수급사업자가 대등한 지위에서 상호 보완하며 균형 있게 발전할 수 있도록 하는 것을 목적으로 하는 일종의 특별법으로 ( 대법원 2014. 9. 25. 선고 2014다25153 판결 참조), 이러한 하도급법의 입법 취지를 아울러 고려하면, 기존의 직접지급합의 중 아직 시공이 완료되지 않아 직접지급청구권이 발
21		section 0	나) 원심판단과 같이 이 사건 직불합의가 2021. 11. 무렵 명시적으로 합의해지되었다고 볼 만한 사정은 보이지 않는다. 나아가 앞서 본 사실관계와 기록에 따라 알 수 있는 다음과 같은 사정을 위와 같은 법리에 비추어 보면, 이 사건 직불합의를 묵시적으로 합의해지하기로 하였다고 보기도 어렵다.  (1) 하도급법 제14조 제1항 에서는 ‘발주자는 다음 각 
22		section 0	(2) 그렇다면 발주자가 하도급대금을 직접 수급사업자에게 지급하기로 발주자·원사업자 및 수급사업자가 합의한 경우에, 수급사업자가 자신이 하도급받은 제조·수리·시공 또는 용역을 수행함으로써 별도의 직접지급의 요청이 없더라도 발주자에 대한 하도급대금 직접지급청구권이 발생하고, 그 범위 안에서 발주자의 원사업자에 대한 대금지급채무도 소멸한 것으로 보게 된다( 대
23		section 0	(3) 피고 대구광역시가 2021. 10. 22. 기준 원고를 포함한 수급사업자들에 대한 직접지급내역을 통보하기도 하였으나, 이후 원고와 피고들 사이에 이미 발생한 직접지급청구권에 관한 정산 협의를 거쳤다고 볼 만한 사정도 보이지 않는다. 피고 대구광역시가 2020. 12. 무렵 하도급대금 직불(직접지급) 합의서에 날인이나 승인을 하지 않은 것은, 원고와 
24		section 0	(4) 원심은 피고 대구광역시가 피고 공동수급체에 대하여 하도급법 제13조의2 에 따라 하도급대금 지급보증의 조치를 취할 것을 요구하거나 피고 2 회사 가 원고에게 하도급공사 노무비를 지급한 2021. 11. 무렵 이 사건 직불합의에 대한 묵시적 합의해지가 성립하였다고 판단하였다. 그러나 이는 수급사업자들의 변경된 하도급대금 전액에 대하여 직불합의가 되지 
25		section 0	다) 그럼에도 그 판시와 같은 이유만으로 이 사건 직불합의가 2021. 11. 무렵 적법하게 해지되어 실효되었다고 본 원심판단에는 묵시적 합의해지에 관한 법리를 오해하여 판결에 영향을 미친 잘못이 있다.  나아가 발주자는 수급사업자의 직접지급청구권이 발생하기 전에 원사업자에 대하여 대항할 수 있는 사유로써 수급사업자에게 대항할 수 있으나, 수급사업자의 직접
26		section 0	2) 제2 상고이유에 대하여  원고가 피고 대구광역시에 대하여 하도급법 제14조 제1항 제4호 에 따라 하도급대금 직접지급을 요청한 것은 이 사건에서 제출된 2023. 2. 7. 자 청구취지 및 청구원인 변경신청서 부본의 송달을 통해서인데, 당시에는 피고 대구광역시의 상계 및 변제로 피고 공동수급체에 대한 공사대금채무가 소멸하였으므로 피고 대구광역시가 직접
27		section 0	4. 파기의 범위  피고 대구광역시에 대한 제1 예비적 청구에 관한 상고를 받아들이는 이상 피고 공동수급체에 대한 제2 예비적 청구에 관한 상고에 관하여는 나아가 판단하지 아니하고, 원심판결 중 제1 예비적 청구와 함께 제2 예비적 청구에 관한 부분도 파기하여야 한다. 또한, 민사소송법 제215조 제2항 에 따른 가집행의 원상회복신청은 소송 중의 소의 일종
28		section 0	5. 결론
