chunk_idx	page	section	text_excerpt
0	1		SONATA
1	2	탄탄한 헤리티지와 선도적인 디자인, 첨단 기술의 조합 익숙함도 완전히 새롭게, 쏘나타 디 엣지.	SONATA The Edge  탄탄한 헤리티지와 선도적인 디자인, 첨단 기술의 조합 익숙함도 완전히 새롭게, 쏘나타 디 엣지.  인스퍼레이션(에어로 실버 매트)  SONATA 디지털 카탈로그 (모바일)  SONATA 디지털 카탈로그 (PC/태블릿)  * QR코드를 통해 더 자세한 내용을 볼 수 있습니다.  Home Intro Exterior Interior
2	3	미래지향적인 심리스 호라이즌 램프(수평형 램프)는 쏘나타의 과감해진 스타일을 완성합니다.	Exterior  미래지향적인 심리스 호라이즌 램프(수평형 램프)는 쏘나타의 과감해진 스타일을 완성합니다.  인스퍼레이션(에어로 실버 매트)  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifica
3	4	미래지향적인 심리스 호라이즌 램프(수평형 램프)는 쏘나타의 과감해진 스타일을 완성합니다.	LED 리어콤비램프 18인치 알로이 휠 & 피렐리 타이어  Exterior 자세히 보기  심리스 호라이즌 램프, Full LED 헤드램프(프로젝션 타입)  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Sp
4	5	하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.	Interior  하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.  * 인포테인먼트 시스템 화면 이미지는 업데이트에 따라 변동될 수 있습니다.  가솔린 2.0 인스퍼레이션(그레이지)  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hyb
5	6	하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.	현대 차세대 인포테인먼트 시스템(ccNC: connected car Navigation Cockpit)  파노라믹 커브드 디스플레이에 적용된 클러스터, 내비게이션, 헤드업 디스플레이 간 일체감있는 그래픽 테마를 구현하였으며,  자연어 기반 음성인식, 미디어 스트리밍, 실시간 길 안내 등의 다양한 콘텐츠를 제공합니다.  * 인포테인먼트 시스템 화면 이미지는 
6	6	하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.	40주년 디스플레이 테마  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
7	7	하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.	듀얼 풀오토 에어컨(미세먼지센서/공기청정모드/오토 디포그/애프터 블로우 포함)  터치가 가능한 대화면 통합 공조 컨트롤러를 통해 시트 열선/통풍, 스티어링 휠 열선 등의 다양한 기능을 터치로 제어합니다. 전자식 변속 칼럼  컬럼 로터리 타입 전자식 변속 다이얼로 조작 방향과 구동 방향을 일체시켜  직관적 조작 방식을 구현했습니다.  Interior  자세히
8	7	하이테크한 파노라믹 커브드 디스플레이와 간결한 실내 디자인은 탑승자에게 만족감을 선사합니다.	Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
9	8	최신 편의 사양으로 더욱 편리하게 차량을 제어할 수 있습니다.	Function  최신 편의 사양으로 더욱 편리하게 차량을 제어할 수 있습니다.  스마트 파워 트렁크  스마트 키를 소지한 상태로 차량 후방에 3초 이상 대기하면 트렁크가 자동으로 열려 편리하게 짐을 싣고 내릴 수 있습니다.  실내 지문 인증 시스템(시동/결제)  지문 인식을 통해 차량의 시동을 걸거나 인카페이먼트 서비스를 이용할 수 있습니다.  디지털 키
10	8	최신 편의 사양으로 더욱 편리하게 차량을 제어할 수 있습니다.	아이폰, 애플워치 및 안드로이드 계열 스마트폰(예: 삼성 스마트폰)으로 도어 잠금/해제 및  시동이 가능하고, 최대 15개 디바이스까지 사용 권한을 공유할 수 있습니다.  * 지원 가능한 상세 기종은 현대자동차 홈페이지를 참조하세요.  Home Intro Exterior Interior Function Performance Hyundai SmartSense
11	9	최신 편의 사양으로 더욱 편리하게 차량을 제어할 수 있습니다.	원격 스마트 주차 보조  원격 스마트 주차 보조(RSPA)는 차량 외부에서 원격으로 주차 및 출차하도록 도와줍니다. 운전자가 차량 외부에서 스마트 키를 사용하여 원격 전/후진 기능을 사용할 수 있습니다.  서라운드 뷰 모니터  서라운드 뷰 모니터(SVM)는 안전한 주차를 위해 차량 주변 상황을 다양한 시점의  영상으로 보여줍니다.  후측방 모니터  후측방 
12	9	최신 편의 사양으로 더욱 편리하게 차량을 제어할 수 있습니다.	* 인포테인먼트 시스템 화면 이미지는 업데이트에 따라 변동될 수 있습니다.  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
13	10	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.  동승석 릴렉션 컴포트  동승석 탑승자에게 최적의 휴식 자세를 제공하여 피로를 저감할 수 있으며 원터치 동작으로 사용 편의성을 제공합니다.  뒷면 전동식 커튼  후면 유리를 통해 들어오는 햇볕을 차단하는 커튼으로 버튼을 통해 작동이 가능하며,  후진 시 자동으로 커튼이 내려가 후방 시야를
14	10	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	능동형 공기청정시스템  실내 공기질을 감지해 공기청정모드가 자동으로 작동되어 미세먼지를 필터링하고  공기를 제습하여 실내 공기 질을 개선합니다.  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifi
15	11	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	인카페이먼트/e hi-pass  인카페이먼트에 등록한 카드로 제휴 가맹점에서 현금이나 실물 카드 없이 내비게이션 화면 터치만으로 주유, 주차 요금 등을  간편하게 결제할 수 있습니다. e hi-pass 신청 시 실물 카드 없이도 유료도로의 통행료 결제가 가능합니다.  BOSE 프리미엄 사운드(12스피커, 외장앰프)  12개의 고성능 스피커와 함께 적용된 B
16	11	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	* e hi-pass 기능은 하이패스 추가 시 사용 가능합니다.  * 인포테인먼트 시스템 화면 이미지는 업데이트에 따라 변동될 수 있습니다.  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifica
17	12	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	빌트인 캠 2  고해상도 전용 전 · 후방 카메라로 주/야간 화질이 우수하며 음성 녹음, 대용량 외장 메모리,  OTA 기능, 차량 주행 정보 저장 및 재생 기능(지도 연동 등)이 적용되었습니다.  블루링크를 통해 주차 중 충격 감지 저장 영상 전송 및 빌트인 캠 상태 정보도 제공합니다.  증강현실 내비게이션  주행 화면 위에 목적지, 차간 거리, 전방 차
18	12	최첨단 기술의 적용은 보다 실용적이고 진화된 이동 경험을 제공합니다.	Function 자세히 보기  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
19	13	최대토크 kgf.m/1,500~4,500rpm 27.0	205 모터 최대토크 Nm  Performance  향상된 주행 안정성으로 여유로운 드라이빙을 경험할 수 있습니다.  최대토크 kgf.m/1,500~4,500rpm 27.0
20	13	20.0 최대토크 kgf.m/4,800rpm	20.0 최대토크 kgf.m/4,800rpm
21	13	19.5 최대토크 kgf.m/4,200rpm	19.5 최대토크 kgf.m/4,200rpm
22	13	146 최고출력 PS/6,000rpm 9.7 복합연비 km/ℓ(자동 6단/17인치)	최대토크 kgf.m/1,650~4,000rpm 43.0  180 최고출력 PS/5,500rpm 13.5 복합연비 km/ℓ(자동 8단/17인치, 빌트인 캠 미적용 기준)  스마트스트림 가솔린 1.6 터보 엔진  160 최고출력 PS/6,500rpm 12.6 복합연비 km/ℓ(자동 6단/17인치, 빌트인 캠 미적용 기준)  스마트스트림 가솔린 2.0 엔진  1
23	13	195 시스템 최고출력 PS(가솔린 엔진 : 152PS, 전기모터 : 38.6kW) 19.2 엔진 최대토크 kgf.m/5,000rpm 19.4 복합연비 km/ℓ(자동 6단/16인치, 빌트인 캠 미적용 기준)	스마트스트림 LPG 2.0 엔진  290 최고출력 PS/5,800rpm 11.1 복합연비 km/ℓ(8단 습식 DCT/19인치)  스마트스트림 가솔린 2.5 터보 엔진  195 시스템 최고출력 PS(가솔린 엔진 : 152PS, 전기모터 : 38.6kW) 19.2 엔진 최대토크 kgf.m/5,000rpm 19.4 복합연비 km/ℓ(자동 6단/16인치, 빌트인 
24	13	Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications	스마트스트림 가솔린 2.0 하이브리드 엔진 / 전기 모터  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
25	14	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.  전방 충돌방지 보조  전방 충돌방지 보조(FCA)는 주변 상황을 살피고, 충돌 위험 발생 시 경고를 합니다. 경고 후에도 선행 차량이 갑자기 속도를 줄이거나, 전방에 차량, 이륜차, 보행자 및 자전거 탑승자와 충돌 위험이 높아지면 자동으로 제동을 도와줍니다. 교차로에서 방향지시등 스위치를 켜고
26	14	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	후측방 충돌방지 보조  후측방 충돌방지 보조(BCA)는 차로 변경 중 후측방에서 다가오는 차량과 충돌 위험 발생 시  경고를 합니다. 또한 평행 주차상태에서 전진 출차 중 후측방에서 다가오는 차량과 충돌 위험이  높아지면 자동으로 제동을 도와줍니다.  안전 하차 경고  안전 하차 경고(SEW)는 정차 후 탑승자가 차에서 내리려고 도어를 열 때, 후측방에서 
27	14	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	* 첨단 운전자 보조 시스템은 운전자의 조작을 보조하는 기능이므로, 항상 주의를 기울여 운전하십시오. * 주변 환경, 주행 조건에 따라 기능이 원활히 작동하지 않거나 않을 수 있습니다. 또한 첨단 운전자 보조 시스템 인증 관련 법규 제약 사항에 따라 기능이 제한적으로 작동할 수 있습니다. 세부 사항은 사용 설명서를 참조하십시오. * 상기 사양구성은 차량 구
28	14	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
29	15	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	내비게이션 기반 스마트 크루즈 컨트롤(안전구간/곡선로)  내비게이션 기반 스마트 크루즈 컨트롤(NSCC)은 고속도로 및 자동차 전용 도로 주행 시 도로 상황에 맞춰 안전한 속도로 주행하도록 도와줍니다. 안전속도 및 곡선로 구간에 진입하기 전에 속도를 자동으로 줄여주고, 이후 안전속도 및 곡선로 구간을 지나면 원래 설정한 속도로 복귀합니다.  차로 유지 보조
30	15	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	차로 유지 보조(LFA)는 차로 중앙을 유지하며 주행하도록 도와줍니다.  후방 교차 충돌방지 보조  후방 교차 충돌방지 보조(RCCA)는 후진 중 좌/우측에서 다가오는 차량과 충돌 위험 발생 시  경고를 합니다. 경고 후에도 충돌 위험이 높아지면 자동으로 제동을 도와줍니다.  현대 스마트센스  자세히 보기  * 첨단 운전자 보조 시스템은 운전자의 조작을 보
31	15	현대 스마트센스가 운전자와 탑승객 모두를 안전하게 보호합니다.	Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
32	16	진보된 주행 성능 향상으로 하이브리드 주행감성을 더욱 높였습니다.	Hybrid  진보된 주행 성능 향상으로 하이브리드 주행감성을 더욱 높였습니다.  하이브리드 전용 콘텐츠  차량의 주행 정보 및 연비 정보, 에너지 흐름도, ECO 드라이빙 등 다양한 전용 콘텐츠로 드라이빙에 필요한 정보를 제공합니다.  하이브리드 전용 12V 배터리 리셋 버튼  고전압 통합형 배터리 시스템이 탑재되어 차량구동에 필요한 전기에너지를 저장/공
33	16	진보된 주행 성능 향상으로 하이브리드 주행감성을 더욱 높였습니다.	회생제동 컨트롤 패들쉬프트  회생 제동량을 단계별로 조절이 가능하여 운전 스타일에 맞는 드라이빙 경험을 제공합니다.  Home Intro Exterior Interior Function Performance Hyundai SmartSense Hybrid N Line Features Colors Customizing Specifications
34	17	진보된 주행 성능 향상으로 하이브리드 주행감성을 더욱 높였습니다.	운동 성능 개선 기술(e-Dynamic Drive) 승차감 개선 기술(e-Comfort Drive)  • e-Ride Gen2  속도 방지턱을 통과하거나 가속 시 모터의 토크를 제어하여 차량의 흔들림을 최소화하여 편안한 승차감을 제공합니다. • e-핸들링  곡선로 진입과 탈출 시 모터의 토크로 무게 중심을 이동시켜  조향 응답성과 선회 안전성을 증대 시켜줍
