chunk_idx	page	section	text_excerpt
0	1		년 데이터센터 산업  2025  활성화 지원 사업  통합 공모안내서 [ ]
1	1		2025. 3.
2	2		- 2 -
3	2	* 글로벌 데이터센터 시장은  조원 년에서  조원 년 규모로  배 이상  382 (’22 ) 800 (’32 )  2	1. 추진배경  □데이터센터는  시대의 핵심 인프라   AI  ○ ‘ 일상화 시대 AI  ’에 초고성능 컴퓨팅자원의 활용과 방대한 데이터의  효율적 처리를 가능케 하는  시대 필수 인프라 AI  로 급속히 성장 中  * 글로벌 데이터센터 시장은  조원 년에서  조원 년 규모로  배 이상  382 (’22 ) 800 (’32 )  2  성장 전망(spheri
4	2	※ 트럼프 기 정부는 스타게이트 프로젝트 규모를 향후 년간  억달러약  조원로    2 4 5000 ( 720 )	○  혁신 가속화 주도권 확보 등 글로벌  경쟁이 심화되며 AI  , AI  AI  ,  데이터센터는 국가 성장의 기반이 되는 인프라로 중요성이 갈수록 확대  - 해외 주요국은  등  AWS, MS  빅테크와의 전략적 협력 등 다양한  정책지원등을 통해 데이터센터 유치구축을 확대   ·  ※ 트럼프 기 정부는 스타게이트 프로젝트 규모를 향후 년간  억달러약
5	2	※  년 조원에서  년  조원 규모로 약 배 이상 성장할 것으로 전망 ‘22 5 ‘32 10.5 2 (spherical insights, ‘23)    ※ 국산 장비 활용 추정 서버  스토리지  배터리  발전기  등  :  11.1%,  6.7%,  44%,  0%, UPS 8%  (KDCC)	대폭 확대하여 역사상 가장 큰  인프라 프로젝트를 추진하겠다고 발표 월 AI  (’25.1 )  □국내 데이터센터 산업 생태계 및 경쟁력은 아직 부족  ○ 국내 데이터센터 시장 성장*이 예상되나, 국내데이터센터에서 활용되는  장비 등은 외산 의존도가 높아 ·SW  , 국내 성장으로 직결되지 못하는 상황  ※  년 조원에서  년  조원 규모로 약 배 이상 성
6	2	애로사항이 가중되고 있으며, 주요국 대비 인센티브 등 혜택은 부족	또한데이터센터는  활용 시 소비되는 에너지 대량 이용 등     -  ,  AI  전력  소비시설로 에너지 절감탄소중립 등 ,  多 에 대한 대응 요구증대  ○ 데이터센터 구축 및 운영 시 준수해야 할 법제도가 다양 ․ 하여 산업계  애로사항이 가중되고 있으며, 주요국 대비 인센티브 등 혜택은 부족  * 미국일정 이상 투자고용 시 판매세 및 사용세 면제 아
7	2	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	○ 지자체별로 데이터센터 유치 노력중이나신규  집적단지 개발산단  ( DC ,  활용,  친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,  * (비수도권 유치 애로사항) 데이터센터 운영인력 등 인력   수급(32%), 수요기업 유치(32%),  전기 등 관련 인프라 등 년 실태조사 (22%)  (’22 , KDCC)
8	3	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	- 3 -
9	3	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	2. 공모 개요  □추진 목적  ○ 지속 가능한 데이터센터 산업 발전을 위해 국산 장비 개발 실증 ·SW  ,  테스트베드조성홍보ㆍ인식개선    ,  등을 통한 데이터센터 산업 성장 지원  ○ 비수도권 인력양성데이터센터 구축 운영 컨설팅친환경 기술 실증 ,  · ,  등을 통한 데이터센터 탄소중립 대응지방분산 활성화 기반 조성 ,  □주요 내용  ○ 데이터
10	3	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	- 국산 데이터센터 장비·SW를 실제 데이터센터 환경에서 시험·검증  하기 위한 테스트베드 구축, 장비 실증 연계 지원 SW  ‧  ○ 데이터센터 장비 개발실증  SW  ‧ ‧ 월 중 별도 공모 예정 5 ※  - (국산 장비 개발 실증 ·SW  ) 데이터센터의 기술 자립도 향상 및 국내  기업 경쟁력 제고를 위한 국내 장비 및  의 성능 향상 SW ,  등
11	3	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	접목을 통한 고도화 및 실증을 지원  - (친환경고효율 장비 실증 · ·SW  ) 전력 사용량 절감 향상 등    , PUE  데이터  센터의 친환경고효율 전환을 위한 국산 장비 의  · ·SW 실증 지원  ○ 데이터센터 장비SW  ‧ 해외 진출 지원  - 데이터센터 장비 의 글로벌 경쟁력 강화 ·SW 를 위한 개발 고도화상 ,  호운용성 검증인증 포함 (
12	3	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	○ 데이터센터 비수도권 전문인력 양성  - 데이터센터 지방분산에 대응하여 비수도권 데이터센터 구축운영  ·  전문인력 확보를 위한 인력양성 지원
13	4	친환경 연계 등) 인력 수급수요기업 유치제반 인프라 등 한계 존재   ,  ,	- 4 -
14	4	□주요 지원내용	○ 컨설팅 지원센터 운영 ( ) 효율적인 비수도권 데이터센터 구축 지원을  위해 활용 가능한 데이터센터 구축운영 가이드라인 고도화 및  ·  상시 컨설팅 지원  ○ 홍보인식개선 등 데이터센터 산업 발전 지원 ( ,  ) 데이터센터 산업  발전 및 활성화를 위한 데이터센터 인식 제고홍보 활동산업계  ,  ,  의견수렴을 통한 정책발굴등 지원  □주요 지원내용
15	4	□주요 지원내용	분 야 과제당  예산  지원 과제수 지원내용 및 지원대상  테스트베드 조성  ➊  지원
16	4	□주요 지원내용	억 5 ~
17	4	□주요 지원내용	억 25.33 개 이상 2
18	4	□주요 지원내용	▸지원내용 ( ) 데이터센터 국산 장비 실증을 위한  ·SW  테스트베드 조성장비 실증 연계 지원 ,  SW  ‧  ▸지원대상 ( ) 데이터센터 테스트베드 구축 및 실증    지원을 희망하는 기업기관협단체 등 ,  ,  대기업은 주관기관이 아닌 참여기관으로만 지원이 가능하며 *  ,  예산은 미지원  장비·SW  기업 육성  개발실증 ( )  ‧
19	4	□주요 지원내용	월 중  * 5
20	4	□주요 지원내용	별도 공모  국산  장비·SW  개발 실증  지원  최대
21	4	□주요 지원내용	억 4.5
22	4	□주요 지원내용	개 과제 6  내외  ▸지원내용 ( ) 국내 기업 경쟁력 제고를 위한 데이터  센터 국산 장비 개발 고도화 및 개발실증 지원 ·SW  ▸지원대상 ( 테스트베드에 적용 가능한 데이터센터  )  국산 장비 및  를 보유한 중소중견기업 SW ·  ※ 자세한 사항은 월 중 별도 공모 시 확인 가능 5  친환경·  고효율  장비·SW  실증 지원  최대
23	4	□주요 지원내용	억 4
24	4	□주요 지원내용	개 과제 4  내외  ▸지원내용 ( ) 친환경고효율 데이터센터의 전환 유인을 ·   위한 데이터센터 장비 의 친환경 기술 도입실증 지원 ·SW ·  ▸지원대상 ( ) 데이터센터 관련 장비 및  제품의    SW  친환경 기술 도입고도화 및 실증이 필요한 중소 · · 중견 기업  ※ 자세한 사항은 월 중 별도 공모 시 확인 가능 5  해외진출 지원  ➋ 최대
25	4	□주요 지원내용	억 4.8
26	4	□주요 지원내용	개 2 과제 내외  ▸지원내용 ( ) 국내 데이터센터 장비 의 해외진출  ·SW 지원을 위한 개발 고도화컨설팅마케팅 등 지원 ,  ,  ▸지원대상 ( 데이터센터 장비 기업과 전문적인  )  ·SW  컨설팅마케팅이 가능한 기업기관 간 컨소시엄 · ·  비수도권 전문인력  ➌  양성  최대
27	4	□주요 지원내용	억 2
28	4	□주요 지원내용	개  3 지역  ▸지원내용 ( ) 비수도권 데이터센터 관련 구축운영 인력  · 확보를 위한 전문 인력양성 지원  ▸지원대상 ( 비수도권 광역지자체 소재 전문 교육  )  기관기업 진흥기관대학교협단체 등 · , ICT  ,  ,
29	4	□주요 지원내용	ICT  ,  ,  ,  ※
30	5	□주요 지원내용	- 5 -
