id,query,query_type,doc_id,expected_doc_title,relevant_chunks,acceptable_chunks,source_chunk_text,expected_answer_summary,must_include,source_hint,negative,doc_type,caption_dependent
G-U-001,그때 쏘나타 시트 뭐였더라 가죽이었나,fuzzy_memory,92c38315-659e-42f4-9043-8cec1d62823a,sonata-the-edge_catalog,"47,46,121","44,53",,트림별 시트 재질 (인조가죽/천연가죽/나파),시트;가죽,,false,pdf,false
G-U-002,쏘나타 디 엣지 인스퍼레이션 트림 가격 얼마야,exact_fact,92c38315-659e-42f4-9043-8cec1d62823a,sonata-the-edge_catalog,"119,1,100","42,56",,트림별 가격 정보,인스퍼레이션;가격,,false,pdf,false
G-U-003,쏘나타 휠 사이즈 트림별로 표 어디 있어,table_lookup,92c38315-659e-42f4-9043-8cec1d62823a,sonata-the-edge_catalog,102,118,,트림별 휠 인치 표,휠;인치,사양 표,false,pdf,true
G-U-004,쏘나타 외장 색상 몇 종류였지,exact_fact,92c38315-659e-42f4-9043-8cec1d62823a,sonata-the-edge_catalog,"101,120","2,44,45,100,119",,외장 컬러 옵션 종류,컬러;색상,,false,pdf,false
G-U-005,쏘나타 그 인테리어 사진 어떻게 생겼더라,vision_diagram,92c38315-659e-42f4-9043-8cec1d62823a,sonata-the-edge_catalog,,,,인테리어 비주얼 (대시보드/시트/콘솔),인테리어,,false,pdf,true
G-U-006,데이터센터 테스트베드 사업 그 다이어그램 있잖아 구조가 어떻게 돼,vision_diagram,b218e8a1-cb35-4540-b969-f0f4fac517fa,2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,"43,390,58",392,,사업 체계 다이어그램 (실증연계형/주관기관/수요기관/장비SW),테스트베드;실증;장비,p.6 근처,false,pdf,true
G-U-007,데이터센터 사업 신청 자격 어디 있었지,fuzzy_memory,b218e8a1-cb35-4540-b969-f0f4fac517fa,2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,,,,신청 자격 요건,자격;신청,,false,pdf,false
G-U-008,데이터센터 지원금 얼마까지 나온다고,numeric_lookup,b218e8a1-cb35-4540-b969-f0f4fac517fa,2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,389,"93,125,386,388",,지원금 한도,지원금,,false,pdf,false
G-U-009,데이터센터 사업 신청 마감일 언제야,exact_fact,b218e8a1-cb35-4540-b969-f0f4fac517fa,2025년 데이터센터 산업 활성화 지원 사업 통합_안내서,419,435,,신청 마감일,마감일,,false,pdf,false
G-U-010,보건의료 빅데이터에서 환자 정보 보호 어떻게 한다고 했지,synonym_mismatch,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),"159,34","161,157",,개인정보 비식별화 방안,비식별화;개인정보,,false,pdf,false
G-U-011,보건의료 빅데이터 플랫폼 핵심만 짧게,summary,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),"104,171,122","0,9,150,151,153,173",,시범사업 추진 계획 요약,빅데이터;시범사업,,false,pdf,false
G-U-012,보건의료 빅데이터에서 데이터 종류 어떤 게 들어가,exact_fact,2303ef36-7502-407a-8a88-3c0dc63c8464,보건의료_빅데이터_플랫폼_시범사업_추진계획(안),166,104,,데이터 카테고리 목록,데이터 종류,,false,pdf,false
G-U-013,운영내규에서 위원회 구성 어떻게 돼있어,exact_fact,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),10,,,운영위원회 구성과 인원,위원회;구성,,false,hwpx,false
G-U-014,한마음생활체육관 시설 이용료 얼마야,numeric_lookup,2e083cb0-05c3-4910-8345-2658c46fb7ed,한마음생활체육관_운영_내규(2024.4.30.개정),38,11,,시설별 이용 요금,이용료;요금,,false,hwpx,false
G-U-015,운영내규랑 직제규정에서 위원회 역할 어떻게 달라,cross_doc,,한마음생활체육관_운영_내규(2024.4.30.개정)|직제_규정(2024.4.30.개정),직제규정:58,직제규정:59,,두 자료의 위원회 역할 비교,위원회;역할,각 자료 위원회 조항 / 운영내규엔 위원회 조항 없음 — 비대칭 라벨,false,hwpx,false
G-U-016,직제규정에서 부서 구조 그림 같은 거 있나,vision_diagram,a5f3cfae-5059-41d4-8623-e9b6f23231c2,직제_규정(2024.4.30.개정),95,"64,65,93,94,101,126,166",,조직도 또는 부서 구조,조직;부서,,false,hwpx,true
